"id","name","screen_name","description","followers_count","friends_count","favorites_count","listed_count","created_at"
15191645,tom siller,segubs,"Artist Producer (retired) • TV News Artist (WLS•WXTV•TWC ) 
• Vietnam Vet • Views Mine",2336,2077,2216,103,2008-06-21 00:00:00
15216050,elektra,elektralyte,"Where did my original bio go? I think it got lost in one of the updates. ¯\_(ツ)_/¯ Just so you know, I reblog a lot and comment once in a while.",129,286,13718,6,2008-06-24 00:00:00
15279465,Luis Saldana,lsaldanamd,"MD/MBA, CMIO for large Texas health system. ED physician. Views my own. “Ask what makes you come alive and go do it.” Howard Thurman",8401,7287,22277,899,2008-06-30 00:00:00
15300688,unicorn on the cob,aheinzer,,121,574,12782,1,2008-07-02 00:00:00
15364156,Readerrabbit,gbunny,Fight On!  Opinions are my own and not that of any employers!,120,325,14649,1,2008-07-09 00:00:00
15427412,Lizzy,januarysix,martian,52,407,1674,16,2008-07-14 00:00:00
15441705,brad440,brad440,,46,115,35,3,2008-07-15 00:00:00
15470236,Jamie Torture Chambers,Jamie1km,"At 8 years old I entered a writing contest and started playing Dungeons & Dragons, setting up the rest of my life. Dad, storyteller, professional nerd.",2073,1145,4513,139,2008-07-17 00:00:00
15484582,RonPulliam,RonPulliam,"I'm a retired Navy Chief Petty Officer. #AWAG (America Was Already Great)! Also a retired County of Alameda CA employee,",252,607,4572,12,2008-07-18 00:00:00
15505053,Josh Shpayher,joshs,"Science, ⚾, Jewish/Israel; Dad to 3 boys and a girl, Chicagoan; Healthcare Attorney; Feminist; @govsm #Nerdfighter #RESIST",2758,3888,567,247,2008-07-20 00:00:00
15580996,Andrew Troth,andrewtroth,• Professional dilettante • Gregarious introvert • Polyamorous gentleman,471,1045,12349,11,2008-07-24 00:00:00
15612034,darthziv,darthziv,,61,58,14469,0,2008-07-26 00:00:00
15690743,Broke but Fancy,perverta_flack,♋♊♑🐓 🏳️‍🌈💞 Retired kinkster/kink educator. Polyamorus. Food motivated. Lover of pitbulls and kittens. Undercover trash fire. I don't follow back.,465,306,106409,53,2008-08-01 00:00:00
15751272,tscott1,tscott1,"singer,guitarist,entertainer,producer,tropical & classic rock & blues-solo to full 7pc band,blend of guitars,steel pans,keyboards,horns,bass & drums/percussion",165,337,546,4,2008-08-06 00:00:00
15910494,clive flashman,cflashman,"Founder of Flashfuture Consulting - disrupting #digital #health. Formerly, global head #mHealth @DXC. President @RoySocMed eHealth council",4083,3925,390,364,2008-08-19 00:00:00
16000634,chriscary,chriscary,"Geography enthusiast interested in people, nature, and the places they share.",106,166,4069,28,2008-08-26 00:00:00
16118797,ktaday1,ktaday1,Tweets and opinions are my own. #philanthroactivist #foodie #music #hiphop #socialjustice #wakandaforever,434,320,9165,18,2008-09-03 00:00:00
16123660,chris savage,chris0s,"Policy entrepreneur. Internet, telecom, wireless, privacy & data security geek. DC lawyer. Dad of 3. Geezer in training.  RT not endorsement. Views mine alone.",1480,2646,55489,83,2008-09-03 00:00:00
16179707,leanne,leanneee,local jukebox hero,555,407,9757,12,2008-09-07 00:00:00
16189710,Susan,dazzee,"No creeps,stalkers,ppl who want to be jerks, no f-word—blocked.Same convo goes on too long(💅🏻),I’ll mute.Block and mute features are awesome. Happy👉🏻🎃🦃🎄",1526,3061,40583,11,2008-09-08 00:00:00
16362151,Holy Bullies,holybullies,Analyzing and refuting the inaccuracies lodged against the lgbt community by religious conservative organizations. Lies in the name of God are still lies.,4262,2272,31434,244,2008-09-19 00:00:00
16397938,Brett Banditelli,banditelli,Eagle Scout. Breathing class war like a dragon breathes fire. As long as it takes was a promise. Who wants to build a movement?  DM me if you have Qs about DSA,7830,489,90,326,2008-09-21 00:00:00
16412879,Damon Katz,knomad,"Retired FBI Agent & counsel. Adoptive Bostonian. Striving for rationalism, often failing. Tweets are opinions, contextual, and may need explanation - just ask.",30,107,88,1,2008-09-22 00:00:00
16423294,Chris McMahon,ChrisMcMahon,Brand Management | Social Content Provider | Food Writing,438,1692,10465,21,2008-09-23 00:00:00
16501433,thejollycrank,thejollycrank,And the walls became the world all around,165,571,10617,2,2008-09-28 00:00:00
16592824,Marty!,martymcflyby88,real estate agent based out of Royal Oak. skater and board secretary for Ann Arbor Roller Derby. movie connoisseur. lover of margaritas. she/her.,235,492,2847,6,2008-10-04 00:00:00
16601276,Marla Hardee Milling,marlamilling,"Author | Features Writer | Freelance Content Marketing Writer | Blogger | Ghostwriter | Bear Whisperer based in Asheville, North Carolina.",2757,2891,1392,181,2008-10-05 00:00:00
16704621,MKKare,MKKare,"Retired librarian. Widow. Ehlers-Danlos, hypermobile type. Chronic Fatigue Syndrome. Eccentric aunt. F&SF fan, also mysteries.  Compulsive reader.",428,341,442,21,2008-10-12 00:00:00
16715614,janice w.,stylish_in_dc,"EIC, @FaconMagazine /CD, @_fashionparade/#Sustainability Activist/#Badass/I ❤️Sports/I Bleed Chelsea FC Blue/Member of @ethicalwriters",3686,1368,18140,293,2008-10-12 00:00:00
16789644,Lindsay Stamhuis,linzstam,cat lover • writer • teacher • podcaster • wife of @aidanhailes • #BookhouseBabe • Exec. Editor @25YLsite • #yeg lover since '85 • living on #Treaty6 territory,1260,1464,17457,45,2008-10-15 00:00:00
16827174,BoardCentral,BoardCentral,"Read and Post Stock related Tweets and watch Stock Message Boards, all in real-time. Watch. Search. Participate!",5560,4439,2,252,2008-10-17 00:00:00
16857734,Billfred Leverette,WmLeverette,"2-time HQ winner.  Director, Bricks 4 Kidz Columbia SC | @FIRSTweets lifer | #ForeverToThee | Never just “Bill”, that was my father.",644,314,1231,51,2008-10-19 00:00:00
16955444,Misty,PrincessMippy,"Happily married, obsessed with yarn, aspie with beachball sized lady nuts and Momma of a 7 yo tyrant! Confederates=traitors, don’t fly that flag here! 43%",871,741,177459,11,2008-10-24 00:00:00
16976036,EBeth,Lizz5341,"Use the talents you possess, for the woods would be very silent if no birds sang except the best. - Henry Van Dyke",316,477,5284,12,2008-10-25 00:00:00
17003260,c@p,IP_Paralegal,"""... atoms with consciousness, matter with curiosity..."" @ProfFeynman | gryffindor 🦁 | @USMC veteran",1088,97,26679,192,2008-10-27 00:00:00
17007313,bangskij,bangskij68,"Born 1974, multimedia artist -currently specializing in motion graphics. Rough mixes on http://soundcloud.com/sven-terje-bang",1366,4398,15452,4,2008-10-27 00:00:00
17012177,Chris Hamilton,dteg32,#MoralMonday #BlackLivesMatter. #ourrevolution Poor Lives Matter. Medicare4All Now. Full Employment Act Now. End Mass Incarceration Now. Bernie or Nina 2020,1014,1524,13366,43,2008-10-27 00:00:00
17087161,Phil Semas,psemas,"Retired journalist and publishing executive, formerly @chronicle and @philanthropy",101,138,584,4,2008-10-31 00:00:00
17093031,Tony Roberts,phat_controller,"Digital Technology co-lead @IDS_UK. Previously Gender Tech Fellow @UNU_CS. PhD in Digital Development #ict4d. Founder @Computer_Aid 
ex-Director @bondngo",7215,6707,1595,500,2008-10-31 00:00:00
17110763,Maggielaine,Maggielaine,"Bama grammy, former granola midwife, loves Greg and 4 girls, blessed",60,116,2551,1,2008-11-02 00:00:00
17139488,b3cky,b3cky,Christian. Wife. Accessibility expert. Animal lover. Jewelry maker.,32,133,479,2,2008-11-03 00:00:00
17306030,Chelsea G.,ChelGarbell,"Grad student, feminist, religion nerd, aspiring foreign policy wonk, SEAsia enthusiast, & world traveler. Views expressed are my own. RT/follows ≠ endorsements.",402,1196,769,18,2008-11-11 00:00:00
17455053,AwakenedDragon,Awknddragn,A Fascinated Mind; An Indomitable Spirit that is slowly breaking,129,942,21333,0,2008-11-17 00:00:00
17465654,Jordan Frank,jordanfrank,VP Sales and Business Development - Traction Software,325,295,1316,64,2008-11-18 00:00:00
17517997,Susan Cogan,SusanBCogan,Eclectic. That's me. I talk about everything. http://www.susanbcogan.com,1159,1344,68,32,2008-11-20 00:00:00
17914437,Jean R. Ewing,GenNerd,"USAF Veteran, Married my love, @GenaRader.

There's nothing like the smell of money to get the relatives out of the woodwork.~JR Ewing Jr",2146,1806,10788,110,2008-12-05 00:00:00
17970907,See ya at the border,yewkalaylee,"America, piss us off we'll make your rubble, rubblier.

If your IQ is that of a Hillary supporter please don't interact with me.",8758,7411,242063,135,2008-12-08 00:00:00
18182448,Muhammad Siddiqui,muzammils,"Director, Business Applications at Cleveland Clinic 
System Integration, Project Delivery, Operations, Healthcare",379,733,568,70,2008-12-16 00:00:00
18221026,GeMatt,GeMatt,,146,385,24056,3,2008-12-18 00:00:00
18270023,Kelly Markowitz,kellmarko,"Meandering through life, enjoying what it has to offer.",108,424,2779,2,2008-12-20 00:00:00
18302879,Rick Loek,rickloek,Helping Families Thrive & Financial Pain Reliever(tm) - Fear & Control - the only two items to mitigate.  Fear of running out of money and losing control,266,350,15,7,2008-12-22 00:00:00
18326220,barcula,barcula,Patriot,42,98,6880,3,2008-12-22 00:00:00
18465805,skybrite,skybrite,"Moderate. I retweet political & interesting stuff. Me on the failing Trump admin: pass the popcorn. Lover of birds. Abuser of LOL, memes and :) #HTGAWM addict.",132,135,16949,4,2008-12-29 00:00:00
18496864,Martin Tiller,mctiller,"Writer of books, reader of books, taker of pictures, watcher of movies--mostly Star Wars, church goer, Resister.",1275,2534,14250,68,2008-12-30 00:00:00
18557305,Brooks Harrison,brooksharrison,"Brooks Harrison – Attorneys at Law, PLLC

Personal Injury Trial Attorneys

1-877-402-6658 toll free",841,1176,2404,3,2009-01-02 00:00:00
18579000,बोधिसत्त्व,Bodhisatvaa,wanderer/snob/student. knowledgeable Idiot. troll for hire. चाचा हमारे विधायक है। #GalGadotian #LarryDavidian ¯\_(ツ)_/¯,6497,879,16712,104,2009-01-03 00:00:00
18615706,Daniela,daniela924,obsessive-compulsive daniela. gentle by nature. meteorologist. incredibly unprofessional photo-taker. sad-but-happy infj. | SUNY Oswego & WTOP-10 TV alum |,125,163,3398,0,2009-01-04 00:00:00
18708249,KuroiKumalah,KuroiKumalah,,23,115,3787,0,2009-01-06 00:00:00
18761447,jrenz,jrenz,Creative marketing and advertising professional. Writer. Lover of facts both relevant and random. Prudential employee but opinions are my own.,91,181,2323,1,2009-01-08 00:00:00
18941237,Karen_Eubanks,Karen_Eubanks,"🤔 Free-thinking, outspoken, witty, & annoying. Not a bot or secretly an unregistered foreign agent. Proud part of the #Resistance to kleptocracy! 🕵️‍♀️",239,362,16273,6,2009-01-13 00:00:00
19190645,Joshua McElwee,joshjmac,"Vatican Correspondent, National Catholic Reporter. Co-editor, ""A Pope Francis Lexicon."" For sale here: https://t.co/TsgXtSVcpy  Email: jmcelwee@ncronline.org",11932,1609,4247,384,2009-01-19 00:00:00
19210044,Hayal Koc,hayaldrm,"Dreamer, doer, #entrepreneur & traveler. Happy @Salesforce Ohana member. #FutureofWork guru. Cofounder @ExperteraGlobal. Alumni: @NYUStern @Emory @RobertCollege",730,1031,1105,68,2009-01-19 00:00:00
19251801,funkyTii,funkyTii,"When the going gets weird, the weird turns pro. H.S.Thompson",169,119,945,77,2009-01-20 00:00:00
19316162,Hell World™,KelseyIn3D,fat. feminist. dog nerd. lefty in the south. I'm white but against whiteness. I laugh to keep from crying in this hellscape,141,711,71850,2,2009-01-21 00:00:00
19530343,Sam,SkyBlueSam87,Retired Footballer - #CCFC,1189,4165,10446,37,2009-01-26 00:00:00
19539731,Rob Waterson,RobWaterson,"Whitewater kayaking, individual liberty, and those Self-Evident Truths.
Lowercase ""L"" libertarian.",839,884,223,34,2009-01-26 00:00:00
19555259,Oh Melody Co ♥ Melody Cave,ohmelodyco,"Bespoke Illustration & Storied Paperie for lovebirds, creatives & little ones! Specializing in hand crafting fine art wedding stationery, & heirloom portraiture",430,1119,37362,6,2009-01-26 00:00:00
19561964,Living the Gourmet,livingtgourmet,"A lifestyle website featuring recipes, reviews, wines & celebrity interviews. {Tag us #LTGfood}",5875,2730,24457,1624,2009-01-26 00:00:00
19580407,Lawz,LawzE23,Professional Wrestling Ring Announcer and Referee.,277,813,76,5,2009-01-27 00:00:00
19608297,Human Rights Campaign,HRC,HRC is America's largest LGBTQ civil rights organization working to elect pro-equality candidates up and down the ballot. #TurnOUT http://hrc.org/Vote,815205,159510,14635,8903,2009-01-27 00:00:00
19728373,Stop The Nonsense,IronJJT,"Christian, dad, triathlete, coach, husband, Marine! I don’t pray for forgiveness for what I’ve said, but for what I will say.",343,580,2098,3,2009-01-29 00:00:00
19734708,OK State Chamber,okstatechamber,The state’s leading advocate for business since 1926. Following or RTs do not necessarily imply endorsement. #okstatechamber,7966,1873,1387,231,2009-01-29 00:00:00
19739354,The Signal,UHCLTheSignal,The Official Student Newspaper of the University of Houston-Clear Lake. Serving #UHCL students and the community since 1975.,962,492,315,34,2009-01-29 00:00:00
19797985,Dennis Bottjer,dbottjer,"SharePoint, O365 Obsessed, Solution Architect, Father, and Coffee Addict",1300,1287,558,199,2009-01-30 00:00:00
19943761,Donuts are Unhealthy & Full of Empty Calories,jetreahy,#EndFracking #AbolishIce #AntiWar #NoDAPL #NoMinistryOfTruth #BLM #PeopleOverProfit #M4A #EndCitizensUnited,1690,2437,32340,54,2009-02-02 00:00:00
20284014,Ruth,babyruthl3ss,✨You're in a Hubba Bubba nightmare✨,577,932,7124,16,2009-02-06 00:00:00
20287064,Michelle Safirstein,bigblackdogs,"Horticulturist, UofMich ×3, Shiksa, History Buff, 2nd Amendment, Rottweiler owner, #MAGA",2533,2591,17857,147,2009-02-06 00:00:00
20395811,Amy Grimm,AGRIMMONE,"Retired indie rocker, resister, killing people with kindness and Brooklyn gal.",734,1756,3817,15,2009-02-08 00:00:00
20447317,Brystle Garvin,Brystleee,"Amateur movie critic, plant lady",216,86,28651,3,2009-02-09 00:00:00
20479722,Chris Hennessey,chrishennessey,Husband. Father. Pastor. Book reader. Coffee drinker. Bed sleeper. My mom says I'm the funniest guy in school.,522,387,8322,16,2009-02-09 00:00:00
20582478,Aidan,danDanEFC,Evertonian for my sins. 1/10 Off-road Racer and a big W40K fan. #allhailthebbt #teamorion #kyosho,1495,4644,5172,29,2009-02-11 00:00:00
20621067,Doenut,doewrath,I'm a deer on the internet! Partner of @zenzanroo! I do not know how else to describe myself at this time,736,367,4068,20,2009-02-11 00:00:00
20724431,seuyogi,yogibaba,"Father to 3, wannabe writer, storyteller, nomad living at the edge of the worlds largest rainforest, #dumptrump #Resist #FBResistance",3391,3854,63232,2,2009-02-12 00:00:00
20850648,Cody McClain Brown,smedj,Author of 'Chasing a Croatian Girl' and 'Croatia Strikes Back' Lecturer at FPZG. Fulbright Alum. Hrvatski Zet.,966,640,571,24,2009-02-14 00:00:00
20982857,Gary Meller,gmeller,,26,101,4094,1,2009-02-16 00:00:00
21135715,Helen Troy#FBPE stop Brexit,soygud,Want future generations to have opportunity and freedom from want and war. Any Brexit will destroy our future. Anti Austerity won’t work if Brexit happens,542,1232,14275,6,2009-02-17 00:00:00
21401038,Juliet Rogers,julietrogers,"🌈Relentlessly committed to healthcare and equality for all. CEO, Blue Cottage Consulting. Oh, and I read & write... like I'm running out of time. 📝",643,1010,1772,26,2009-02-20 00:00:00
21440742,ASDisappointment,premiumseagull,"If you like plain toast, you're gonna love me.",237,210,4832,10,2009-02-20 00:00:00
21577327,John Kiff,Kiffmeister,IMF Senior Financial Sector Expert. Opinions are my own. RTs not endorsements. Also check out my Diigo bookmark page: http://www.diigo.com/user/kiffmeister,4968,183,2401,362,2009-02-22 00:00:00
21729214,Jim Griffin,jim_griffin,"Loving life, with a particular fondness for technology, photography, automobiles, and enjoying time with family, friends and acquaintances.",1377,1824,3404,87,2009-02-23 00:00:00
21944013,Lenny,travels007,writer / financial Mkt background / cooking / Good Sense of humor /,613,157,24255,41,2009-02-25 00:00:00
22039734,Holly Poinsett,hpoinsett,"News junkie, writer, student of life, animal lover, tennis nut. Retweets do not = endorsements.",1219,4592,15860,43,2009-02-26 00:00:00
22084992,Lisette Titre-Montgomery,zette16,Art Director. Game Developer. Diversity Advocate. @wearegameheads Creating studio cultures where artists thrive. Current Project is Psychonauts 2 @DoubleFine,1710,1892,3547,93,2009-02-26 00:00:00
22119201,Caroline,DrCJH,"Mum, wife, friend, psychologist and hopeful for a brighter future for our children.",159,297,21478,6,2009-02-27 00:00:00
22181462,sara mcconnell,smc752,,719,1214,94787,53,2009-02-27 00:00:00
22260880,Margaret Dumas,maggleesara,"Constantly curious individual; lover of art, music and mystery.",366,174,56790,6,2009-02-28 00:00:00
22453191,laura voted early,laura_carolyn,"digital director @rosenfornevada. organizer, feminist, gryffindor, made in indiana. tweets are either my opinion or my cats'.",1860,2144,25959,58,2009-03-02 00:00:00
22512257,cindysmithace,weelie,Dallas by way of New York.  Responsible for my own decisions.  Cat lover.  SciFi fan.,318,1216,1589,3,2009-03-02 00:00:00
22732662,Reynawho Reynaroo,reynaramirez22,http://Partnersinjustice.com,309,2735,68389,7,2009-03-03 00:00:00
22739318,Bruce Japsen,brucejapsen,"Senior Contributor @Forbes Author: Inside Obamacare. Talking health, biz & policy @WBBMNewsradio Chicago @foxbusiness @forbesonfox Adjunct @UIOWA_SJMC. Hawkeye.",13254,1575,9684,918,2009-03-04 00:00:00
22819266,Margaret Nielsen,msunielsen,"Retired Social Work professor. Married. Grandmother.
Advocate for peace & social justice. Post-polio #disability. 
#UniteBlue #Resistance",6266,6878,46265,224,2009-03-04 00:00:00
22891564,Chris Geidner,chrisgeidner,"Legal Editor, @BuzzFeedNews. SCOTUS Correspondent. Nat Sec Team, covering Trump & Mueller. Sober. Gay. Buckeye. Law Dork. DMs open. chris.geidner@buzzfeed.com",117199,5139,99686,3734,2009-03-05 00:00:00
23135407,"Sara ""Big Persian Hair"" of Sydney",SaraIsSkyBlue,Born 1991; Sydneysider; Aussie; Iranian; proud daughter of migrants; Sydney Football Club/Cove member; Gooner since 99; bilingual; student; very casual employee,646,1126,5379,36,2009-03-06 00:00:00
23145210,Marnie Goodfriend,mgoodfriend44,Writer. Rape survivor. Activist. Dogmom. Part-time mermaid. Strong at the broken places. Essays editor @tnbtweets. 💌: marniegoodfriend@gmail.com,597,914,644,24,2009-03-06 00:00:00
23224357,Glam Karen,GlamKaren,Cleveland blogger behind http://GlamKaren.com 💋,4581,610,3781,83,2009-03-07 00:00:00
23224743,David Pham,davidpham5,Frontend developer in DC. My personal thing is that their is a joy of being wrong in the pursuit of learning.,222,593,2187,18,2009-03-07 00:00:00
23316834,Amy Albert,AmyEllenA,"Artist, Book Rep, Democrat, Cat Lover",245,447,19144,0,2009-03-08 00:00:00
23344376,Lisa Cerno,cerno1987,I don't Twitter on weekends. Will get back to you on Monday :),175,162,11845,2,2009-03-08 00:00:00
23365683,Nothing But,nothingbutHQ,"Updates from http://nothingbutonline.com

Email Hello@http://nothingbutonline.com",67904,14389,14233,408,2009-03-08 00:00:00
23451326,taste the pizza,cryoshon,i often retweet absurd things,132,164,6149,6,2009-03-09 00:00:00
23544595,Nerdicus,nerdicus,"""More bewildering is... Why would the government shit in your bed?""",98,1045,18641,8,2009-03-09 00:00:00
23706604,Kat Dub,TheKatWill,,523,231,48657,43,2009-03-10 00:00:00
23885163,liska langdon,liskaaz,,962,3704,298832,12,2009-03-11 00:00:00
23995811,Deborah Austin,attydeb2005,Law/Medical type in sunny SoCal,29,178,13402,0,2009-03-12 00:00:00
24051635,NearlyXmasPoopPlushy,crownarmourer,"Cthulhu cultist, time traveler, unusual fetish about trilobites, born in Cimmeria Western Hyperborea.",663,764,50633,22,2009-03-12 00:00:00
24116041,Javier Longoria,JavierLongoria,"Hello Twitter World....Real Estate and Direct Response Marketing is what I love.If you have the same interest, lets connect.I Look forward in learning from you",281,611,481,9,2009-03-12 00:00:00
24144230,Rich Kurtzman,RichKurtzman,"Rockies recaps, Denver @Broncos and #CSURams Football and Basketball writing and podcasts for @MileHighSports. Author @ChasingLombardi.",15150,1410,16545,132,2009-03-13 00:00:00
24203512,Scott Herriott,Scott_Herriott,I like to make documentaries and eat sushi. In that order.,991,301,3330,34,2009-03-13 00:00:00
24469786,FMoffat,fmoffatt,,39,198,4360,0,2009-03-14 00:00:00
24482813,SheaButter,SheaOlcheski,"Associate Producer at @MSNBC | Previously @CBSi #CBSN, @CBSNews National Desk , @CBSNewsRadio & @wcbs880 | ↠The rest is still unwritten↞",718,200,38718,11,2009-03-14 00:00:00
24592225,karen nelson,karenandbowz,Wisconsin Badgers | Soft Coated Wheaten Terriers | Impractical Jokers | stop puppy mills | graphic designer,247,851,44417,15,2009-03-15 00:00:00
24714068,UofH Career Services,UHartCareer,"Whether you are just starting out, or you have a clear career objective, Uhart Career Services is here to help. Come visit us in GSU 203 and 207.",836,413,118,43,2009-03-16 00:00:00
24744802,Barbara Wilson,BarbaraJWilson,"I'm retired but not tired 😴 A proud Liberal, counting the days for that Huge 🌊 blue wave 🌊 I guess that makes me a ❄️trying in my own way to #RESIST",3452,3543,13822,2,2009-03-16 00:00:00
24807518,melanie pratt,melaniewho,"gospel music multi-media girl, ceo&founder of gospelflava.com, stellar award nominated drive-time host Praise 100.9,wife,mommy,lover of God,good food&fly shoes!",18909,1249,349,147,2009-03-16 00:00:00
25010901,Kim Gutierrez,kdgutierez,Creative Services Specialist at U-Haul International,50,202,1421,0,2009-03-17 00:00:00
25191794,victoria donelda,victoriadonelda,mua | youtuber | artist | BFA | resident sass master | feminist trash | instagram @victoriadonelda #blacklivesmatter,3727,2024,2900,18,2009-03-18 00:00:00
25296685,Alex Butcher,alexjbutcher,"green-ish socially-liberal pro-markets libertarian-leaning IT security geek, and amateur geek of physics and economics.",1071,2949,25400,29,2009-03-19 00:00:00
25434845,Annie L,diamondgirl2018,"Retired Owner/Teacher Hot Yoga studio, IBM Financial Marketing, Mom of the 3 best girls around! Married 25 years #MAGA #MCGA™ #AmericaFirst #MyPresident!",1490,1085,19193,3,2009-03-19 00:00:00
25435676,UP Manila NTHC,upmtelehealth,"National Telehealth Center, University of the Philippines Manila.
We envision eHealth in empowered communities.",553,198,133,39,2009-03-19 00:00:00
25527703,JABH,JABH44,,1080,775,158594,56,2009-03-20 00:00:00
25668679,David,DJLOK,Human Rights. Human Freedoms. Freedom of Information. #TheGreatAwakening #QAnon                                                            email: djlok@aol.com,978,1610,4674,2,2009-03-21 00:00:00
25696053,Stephanie Fuqua,stephfuqua,I will have a wall built from your bones.,157,944,36559,2,2009-03-21 00:00:00
25730939,james martinelli,martinipr0blem,report all @sallyalbright bots. #bansallyalbright #barbaraleeforspeaker,1273,2553,34607,8,2009-03-21 00:00:00
25867286,Three Square,threesquareLV,"Three Square works with a service network of more than 1,600 community partners to reach struggling individuals and families at risk for hunger.",14087,1092,8523,301,2009-03-22 00:00:00
25910317,Gulf Golf,gulfgolf,,237,293,4371,9,2009-03-22 00:00:00
